,turn-radius,uuv-speed,nav-bearing-std,nav-velocity-std-cm,max-obs-dist,obs-influence,sonar_ping_rate,side_angle,side_low_range,side_hi_range,side_p_detect,forward_angle,forward_low_range,forward_hi_range,forward_p_detect,current-heading,drift-speed
51,18.45,4.31,0.28,1.75,22.75,3.0,22,47,35,638,0.5351600000000001,42,0,699,0.54375,58.9,0.86
52,7.63,1.78,1.19,1.02,28.64,4.23,6,83,27,275,0.66797,65,0,462,0.86875,277.7,0.57
53,17.47,1.47,1.83,1.25,27.73,0.92,33,32,30,975,0.7226600000000001,85,0,283,0.80625,176.7,0.66
54,5.52,3.75,1.06,1.34,29.32,0.78,13,85,24,250,1.0,46,0,183,0.6875,294.5,0.81
55,17.89,4.44,1.66,1.63,29.55,3.28,35,27,33,1000,0.76172,27,0,325,0.83125,316.9,0.71
56,4.81,1.41,0.67,1.36,18.67,3.42,50,18,22,500,0.78906,24,0,230,0.275,47.7,0.95
57,13.81,2.59,0.19,1.7,17.54,1.34,17,97,33,644,0.78125,40,0,313,0.29375,95.4,0.8
58,3.83,4.38,0.83,1.89,30.0,2.12,33,22,23,456,0.59375,77,0,93,0.61875,101.0,1.0
59,12.83,3.63,0.88,1.67,21.39,4.61,24,82,39,963,0.625,74,0,367,0.44375,159.9,0.88
60,9.45,2.34,1.8,1.28,17.09,4.51,23,16,30,444,0.64063,30,0,735,0.81875,252.4,0.48
61,12.13,1.38,1.2,1.03,21.16,2.15,49,79,33,594,0.5625,51,0,545,0.98125,353.4,0.68
62,8.05,3.34,1.69,1.86,22.98,2.36,20,29,23,281,0.8398399999999999,82,0,782,0.9125,185.1,0.59
63,18.31,3.25,1.31,1.73,26.83,3.07,48,70,39,794,0.9257799999999999,56,0,616,0.68125,230.0,0.54
64,11.0,3.0,1.0,1.0,15.5,2.75,31,61,30,600,0.75,55,0,420,0.6,179.5,0.5
65,15.64,3.22,1.22,1.09,20.26,1.91,27,31,29,256,0.61328,37,0,40,0.25625,137.4,0.16
66,3.97,3.78,1.14,1.08,27.28,2.96,35,96,30,694,0.53906,48,0,82,0.41875,70.1,0.09
67,11.98,1.97,2.0,1.45,17.99,4.3,16,43,28,544,0.76563,79,0,147,0.20625,131.8,0.45
68,7.48,1.44,1.41,1.27,17.31,1.59,56,72,35,631,0.79297,64,0,52,0.4625,11.2,0.39
69,20.0,3.44,0.89,1.53,27.05,2.61,39,10,20,494,0.94531,21,0,598,0.64375,201.9,0.13
70,7.34,3.28,0.61,1.98,18.45,3.52,25,115,35,906,0.9101600000000001,20,0,432,0.75,235.6,0.08
71,12.97,1.0,0.48,1.42,25.47,3.98,46,9,21,419,0.64844,83,0,717,0.625,246.8,0.09
72,9.73,2.19,0.22,1.88,20.03,0.85,9,118,34,831,0.7539100000000001,84,0,586,0.73125,204.7,0.53
73,19.58,4.81,1.48,1.59,24.34,0.61,17,69,25,319,0.6289100000000001,71,0,604,0.24375,72.9,0.22
74,2.28,4.69,1.56,1.47,26.6,4.54,48,55,36,888,0.75781,81,0,711,0.26875,196.3,0.27
75,19.16,1.09,1.05,1.44,20.94,4.68,14,94,28,338,0.9179700000000001,52,0,628,0.4,22.4,0.28
76,3.41,1.06,1.5,1.23,25.92,0.5,30,13,34,750,0.8789100000000001,43,0,468,0.325,165.5,0.41
77,11.42,3.97,0.09,1.64,18.22,1.77,57,78,27,288,0.9960899999999999,75,0,248,0.74375,319.7,0.23
