"BehaviorSpace results (NetLogo 6.0.4)"
"horseshoe-trial.nlogo"
"horseshoe1"
"01/05/2019 13:02:31:679 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev","[link-length] of fix-links"
"53","52","20000","-18.825","-33.837896167289216","0.235","0","3380.394626059185","47","98.9783881513322","51.15057352155997","[253.59186046378358]"
"55","54","2973","-1.398","-22.867112893406905","0.315","0","2117.984274659235","63","141.74588352971202","72.94524540435697","[305.827400304185]"
"56","55","5317","-3.7920000000000003","-13.284918936398636","0.305","0","5566.186821078525","61","65.73054224091457","29.198647123071787","[894.8079386025861]"
"57","56","11710","-9.535","-28.87054155061274","0.435","0","3462.641012283973","87","104.8049878900566","88.55042761607075","[692.5282024567946]"
"58","57","4221","0.7539999999999996","-2.013248973109687","0.995","0","268.90503722144723","199","18.476904404697223","9.195585326399643","[49.04585252163566]"
"59","58","2529","-2.504","-2.504","0.005","0","1950.7166634516805","1","0","0","[384.98618337829816]"
"60","59","3058","0.3919999999999999","-23.682651169440657","0.69","0","1958.9273375450648","138","154.38858252394417","86.35792917046243","[200.06909355768605]"
"61","60","8574","-7.624","-60.79139452623945","0.19","0","4451.566875964481","38","357.42960489482033","174.24434036757415","[150.37806845503067]"
"63","62","3649","-2.474","-17.920989441333397","0.235","0","1439.9361419651975","47","108.60888160543831","45.86101280789565","[45.29371658559074]"
"62","61","20000","-16.3","-25.697995246324183","0.74","0","3648.8232184058634","148","67.71811246433379","26.261839998908027","[729.7646436811726]"
"64","63","4347","-1.7220000000000004","-26.225909248105154","0.525","0","2682.607247186522","105","154.65436456874068","90.38472791231084","[162.26664347380893]"
"65","64","3599","-0.5990000000000002","-8.734140214215321","0.6","0","1314.0181671698897","120","57.43310354926806","23.91829859288515","[262.80363343397795]"
"66","65","3240","-2.99","-10.92257372173701","0.05","0","3453.1711018030855","10","40.05992312785809","39.265814089512006","[690.6342203606171]"
"67","66","2868","-1.4679999999999997","-16.043363476210033","0.28","0","1266.721903402996","56","93.58170984518992","52.17192491691038","[117.67470655033186]"
"72","71","20000","-19.275","-39.31548603933764","0.145","0","3033.651488387429","29","113.65581967796098","86.7490407154154","[586.0833793834037]"
"68","67","7638","-4.888","-40.87545068303775","0.55","0","3375.266585678294","110","267.00506043538115","92.86944639499625","[17.92052369043265]"
"75","74","20000","-22.868","-22.868","0","0","0","0","0","0","[]"
