"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"lone killer uuv centered"
"04/09/2019 19:31:19:245 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","experiment-number","random-seed","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev","kill-made"
"1","0","1","145","0","5.141323738186344","0","0","0","false"
"3","2","1","260","0","9.249370376585382","0","1.1001215088361413","0.3887200953747651","false"
"4","3","1","278","0","19.370196304462407","0","0","0","false"
"2","1","1","257","0","8.167445669813416","0","0","0","false"
"5","4","1","211","0","11.612892360042652","0","0","0","false"
"10","9","1","289","0","8.026485613943441","0","0","0","false"
"7","6","1","641","0","3.0241437846325514","0","0.40100019529905045","0.11711455913288324","false"
"13","12","1","261","0","5.850288722626701","0","0.8371044619223371","0.2764643422195858","false"
"9","8","1","744","0","124.58330135692101","0","0","0","false"
"14","13","1","596","0","76.99291280820857","0","12.137891373041034","2.783253960233393","false"
"11","10","1","1918","0","159.9965463044726","0","29.923339932135253","2.246679709762225","false"
"8","7","1","344","0","4.510059455608385","0","0.508411532429696","0.258618497293043","false"
"15","14","1","287","0","4.4193542383380375","0","0.7158069983154183","0.10497446731679778","false"
"12","11","1","1945","0","41.56117531703586","0","2.996174761338119","2.437472527805865","false"
"18","17","1","328","0","16.317325530541662","0","2.9109411466915915","0.3764230739127665","false"
"6","5","1","166","0","9.78053881134609","0","1.5061666010100756","0.3196519298351162","false"
"20","19","1","502","0","23.789082976817536","0","2.281378276950217","1.647873714980373","false"
"17","16","1","1710","0","55.197032180677795","0","2.232255238463206","2.804627370719233","false"
"23","22","1","450","0","87.83481650504874","0","8.074798341639243","2.3374505773250234","false"
"16","15","1","421","0","10.924856594204948","0","1.4544721960947544","0.2280705047843327","false"
"21","20","1","1272","0","11.464318021095767","0","1.2134076534794989","0.5336508434161348","false"
"25","24","1","247","0","5.750100010438757","0","0.6974770627182005","0.26543081337509483","false"
"26","25","1","336","0","1.8225069427875096","0","0.24483744513346833","0.0640302337847722","false"
"27","26","1","204","0","17.568259143461077","0","0","0","false"
"28","27","1","324","0","19.860773719529625","0","0","0","false"
"19","18","1","1620","0","167.80769170420893","0","20.464788481639356","11.468584489996143","false"
"29","28","1","274","0","3.864187308938482","0","0.598784722453058","0.037447572240464785","false"
"30","29","1","354","0","12.975807808793146","0","1.0176658072938338","0.6412860850301699","false"
"31","30","1","547","0","40.81805795311851","0","5.666331450925009","1.738633861952585","false"
"32","31","1","466","0","27.757465052323298","0","3.3863119915541073","1.2828199457269935","false"
"22","21","1","1672","0","2.901572488794797","0","0.310531258937773","0.1171544482377708","false"
"24","23","1","1739","0","1072.4521937968448","0","64.13854065918822","82.69656797712248","false"
"35","34","1","293","0","11.309323688942731","0","1.273929116928372","0.5828773608399185","false"
"36","35","1","330","0","19.79359369378717","0","3.1141700550371736","0.6872180777947829","false"
"39","38","1","188","0","9.15691525813561","0","1.0125642356666353","0.2632849677046532","false"
"33","32","1","395","0","49.9255117019636","0","0","0","false"
"37","36","1","242","0","30.571180396118812","0","0","0","false"
"34","33","1","293","0","30.34744591486256","0","4.674817444370268","0.7909581747844525","false"
"40","39","1","372","0","16.758058232953225","0","1.7283880189035081","0.7888147299274193","false"
"45","44","1","330","0","18.723534629319364","0","1.364056605196525","0.7480606516441166","false"
"43","42","1","964","0","46.633754904374584","0","3.2112616569163372","3.1576323923207408","false"
"41","40","1","969","0","54.41412800193809","0","4.68558341218162","2.4458182495464063","false"
"38","37","1","1494","0","97.59693373901618","0","10.768944019261601","5.861628543075405","false"
"42","41","1","1036","0","93.04195254882993","0","6.941051087749295","5.667986342169132","false"
"46","45","1","305","0","15.017520427641882","0","1.7827962786362046","0.7876556738666086","false"
"49","48","1","427","0","26.77416833923173","0","2.690286122558553","1.2696279234034904","false"
"44","43","1","1301","0","50.556012701512","0","2.6776264965161665","3.3483845399164305","false"
"51","50","1","207","0","35.26012546292007","0","4.222647903406099","1.7858663287759193","false"
"47","46","1","3987","0","51.78426086153813","40","4.204786291846733","1.9734104182192151","false"
"48","47","1","776","0","79.49108252950698","0","5.146419152943438","5.191020260362256","false"
"52","51","1","925","0","482.01625930920164","0","30.55995262945991","26.426905832538655","false"
"56","55","1","286","0","40.2693423116478","0","4.289576809298139","1.8209943477547517","false"
"50","49","1","962","0","13.319022180379552","0","0.9588365424429627","0.5123471598397388","false"
"55","54","1","406","0","37.63632070844486","0","5.489963047898271","1.6481041551282283","false"
"57","56","1","207","0","0.9795997134110247","0","0","0","false"
"54","53","1","1085","0","97.79480848479052","0","5.3852239973145455","6.0760671092446925","false"
"58","57","1","186","0","2.053279185819627","0","0.2591324547336036","0.05738876722332131","false"
"59","58","1","197","0","27.932321979485238","0","0","0","false"
"60","59","1","188","0","6.455953715387509","0","0.4451896749327727","0.328894095229843","false"
"61","60","1","258","0","9.89696020206109","0","1.4917109503919423","0.3314483160895518","false"
"62","61","1","235","0","15.15681951119422","0","1.6508943834167273","0.8011210705430707","false"
"63","62","1","193","0","29.20494875349242","0","0","0","false"
"64","63","1","260","0","11.65537583569006","0","1.59634426926682","0.32278131484897477","false"
"53","52","1","843","0","34.50432511209358","0","1.7982774133568433","0.8497447657247963","false"
"65","64","1","535","0","108.80640324399677","0","10.985736447704742","5.420379383819677","false"
"68","67","1","1277","0","155.38531142268968","0","8.508355299303316","7.802151400829115","false"
"69","68","1","1208","0","469.52999244524966","0","34.38785729126067","23.135268176312106","false"
