"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"lone killer uuv centered"
"04/10/2019 01:09:41:826 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","experiment-number","random-seed","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev","kill-made","end-reached"
"33","32","1","572","0","84.57494307351408","0","0","0","false","false"
"34","33","1","389","0","38.113405644693444","0","5.608904434121992","1.3013112200012562","false","false"
"39","38","1","233","0","15.159267866365562","0","1.5866462669277825","0.727499055974589","false","false"
"38","37","1","1495","0","97.59693373901618","0","10.768944019261601","5.861628543075405","false","false"
"16","15","1","1730","0","179.09034205007433","0","5.637664473614227","5.370866170552771","false","false"
"45","44","1","701","0","188.99357236900244","0","6.5052172003234725","5.887806732128028","false","false"
"43","42","1","1053","0","46.98635697964201","0","3.489550394678218","3.3423121360491326","false","false"
"40","39","1","797","0","19.342247840179255","0","2.169539302901054","0.9483842390028737","false","false"
"41","40","1","1007","0","57.19208405812022","0","4.68558341218162","2.4458182495464063","false","false"
"51","50","1","310","0","64.04170905477493","0","6.141684963649049","2.930341598073619","false","false"
"49","48","1","1150","0","54.87266103101472","0","5.540021022203058","3.420738793065344","false","false"
"48","47","1","859","0","79.49108252950698","0","5.776088145242315","5.592624023174886","false","false"
"42","41","1","2092","0","93.04195254882993","0","7.071234516101298","4.685788424494899","false","false"
"46","45","1","477","0","15.017520427641882","0","1.6816638647889008","0.7488646516621208","false","false"
"47","46","1","3987","0","51.78426086153813","40","4.204786291846733","1.9734104182192151","false","true"
"50","49","1","1119","0","13.319022180379552","0","1.2263180423591635","0.6610414506930264","false","false"
"52","51","1","936","0","482.01625930920164","0","30.559952629459914","26.426905832538655","false","false"
"57","56","1","293","0","1.8195829860067785","0","0.22088511304150169","0.12158111619086458","false","false"
"58","57","1","250","0","3.6502335463780438","0","0.42259255498926396","0.16208969094660064","false","false"
"59","58","1","280","0","42.901588496561864","0","6.694237243647319","2.631386537455795","false","false"
"56","55","1","895","0","193.4487925512381","0","11.2691624559135","9.353292385091567","false","false"
"60","59","1","310","0","22.020271085482136","0","2.3375125703024096","1.396952661412726","false","false"
"61","60","1","428","0","17.432405340538487","0","2.383284067705911","0.7372739450021961","false","false"
"55","54","1","909","0","70.32248076295866","0","7.657452903286476","3.1413318347700345","false","false"
"54","53","1","1784","0","256.5745546332737","0","10.98463200714257","13.048721788428923","false","false"
"62","61","1","880","0","94.23888703670359","0","6.747359035002483","5.863009815456433","false","false"
"63","62","1","237","0","38.88817561322158","0","6.295921708132675","0.8195833414483417","false","false"
"44","43","1","4419","0","114.53140735451917","100","5.330114564355785","4.721525567415013","false","true"
"53","52","1","997","0","44.03963223526599","0","3.6330490883989217","2.9356219830842134","false","false"
"64","63","1","341","0","21.509734083748405","0","2.2600863570970193","0.9822603984409208","false","false"
"68","67","1","1490","0","155.38531142268968","0","10.373922884637635","7.675270728930783","false","false"
"65","64","1","1355","0","678.7617553844019","0","55.306449743306345","50.27533761894612","false","false"
"71","70","1","4486","1","361.29709862211655","100","15.12462792327003","8.295381705471376","false","true"
"69","68","1","2230","0","469.52999244524966","0","44.266124810211316","16.86350169464779","false","false"
"67","66","1","3482","0","85.17415019181004","86","7.933128683990165","5.026056368788852","false","true"
"70","69","1","3502","0","150.25792549438341","100","6.714242967595215","4.229674813910498","false","true"
"66","65","1","4254","0","240.67292052003395","100","9.506311791571454","9.10941811321867","false","true"
"72","71","1","3665","0","697.3345080958013","100","26.419948720347815","17.50241721015525","false","true"
"74","73","1","1122","0","179.87495258375714","0","16.581896403590367","9.340110593322931","false","false"
"73","72","1","2134","0","150.38867596979418","0","11.231204313213444","8.950747836975323","false","false"
"77","76","1","1066","0","51.55316424210331","0","8.308879808523267","1.5587798534969328","false","false"
"75","74","1","1789","0","182.0873652268951","0","17.620688030491557","6.049175185922798","false","false"
"79","78","1","526","0","25.615502502152864","0","2.5062126877295823","1.7468046699774098","false","false"
"78","77","1","1452","0","5.057106291895611","0","0.6397853106589462","0.2179078596437644","false","false"
"76","75","1","1059","0","72.85350933542057","0","5.0193596865869585","4.986112767666454","false","false"
"80","79","1","1491","0","129.01415955177265","0","10.75660981363413","6.794491030580858","false","false"
"84","83","1","369","0","30.104936851034214","0","3.448080595953645","1.3726605508842753","false","false"
"82","81","1","912","0","588.2528781618114","0","55.941148557533445","41.16913815942952","false","false"
"85","84","1","887","0","83.32491462436755","0","6.224636331511163","4.278209501551264","false","false"
"83","82","1","1193","0","175.98516768039076","0","34.31802901976766","0.16796622085504628","false","false"
"87","86","1","1222","0","90.10342453700312","0","8.987806135392304","5.322907957685201","false","false"
"81","80","1","3702","0","724.8467896414386","98","17.280794921340842","19.450338200971746","false","true"
"86","85","1","1123","0","262.80994560091267","0","28.618392795511202","22.154155017823125","false","false"
"89","88","1","1161","0","43.45006845211187","0","3.8406462390588123","2.3890896270383","false","false"
"95","94","1","1217","0","63.209553508518546","0","5.448620831522878","3.3088423907422406","false","false"
"94","93","1","1217","0","382.57394739877185","0","38.196197988599536","23.532965572744573","false","false"
"88","87","1","1154","2","54.82888118463704","0","4.623034889600384","3.7973681392719842","false","false"
"91","90","1","3627","0","527.6586821492606","74","56.560014059827814","20.36333421816909","false","true"
"90","89","1","4586","0","1261.8931868232569","100","96.26819787963689","77.99015487913853","false","true"
"99","98","1","2727","4","266.78961840295875","0","19.769857085715046","12.08710010377665","false","false"
"98","97","1","5305","0","790.9390678256564","100","11.054543045326406","13.532412180327787","false","true"
"93","92","1","3604","0","182.48739945607096","38","18.719454750558214","6.240168314963418","false","true"
"101","100","1","1707","0","271.9915964979754","0","21.578684336290657","17.018467538117022","false","false"
"96","95","1","1046","0","153.78327459783793","0","16.48508427232833","10.211059150953577","false","false"
"102","101","1","6558","0","198.0383432009453","100","20.566090374280094","10.182137895617204","false","true"
