"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"lone killer uuv centered"
"04/22/2019 19:31:43:128 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","experiment-number","random-seed","[step]","number-of-collisions","max-nav-error","count-mine-contacts","marker-mean","marker-std-dev","kill-made","end-reached","count uuvs"
"1","0","1","240","0","5.141323738186344","4","0.7496808706033723","0.09351714159293523","true","false","0"
"4","3","1","364","0","30.77944243722211","4","4.32237642825947","0","true","false","0"
"7","6","1","496","0","2.2014362825948153","13","0.3366446730254357","0.07539491577635753","true","false","0"
"5","4","1","414","0","37.58186177671853","0","0","0","true","false","0"
"10","9","1","491","0","24.37465028345393","11","2.1707281017853237","1.4323835733302468","true","false","0"
"8","7","1","475","0","10.228828934376633","16","0.8539414865859111","0.6037185991901575","true","false","0"
"13","12","1","358","0","30.09582687460201","14","1.5167746346790572","1.2962351024336638","true","false","0"
"9","8","1","1551","0","325.1142418922914","7","52.48892043931718","13.1359190335412","true","false","0"
"15","14","1","389","0","4.4193542383380375","9","0.5523462687407125","0.1691582147910315","true","false","0"
"6","5","1","217","0","14.78540218593751","5","1.769363386740769","0.42764360704489346","true","false","0"
"12","11","1","2122","0","42.80822170748101","63","3.257456603809824","2.6535331790641155","true","false","0"
"14","13","1","2360","0","76.99291280820857","65","10.8123495169236","3.978219693687538","true","false","0"
"18","17","1","1281","0","60.87339408348978","46","3.8191354123872685","3.1408333541963915","true","false","0"
"17","16","1","2164","0","75.86257888713278","45","4.8790724233585845","5.133898365039956","true","false","0"
"20","19","1","1553","0","51.2474369615085","40","4.069450512711329","1.940758271021334","true","false","0"
"19","18","1","1748","0","167.80769170420893","12","22.041050820567193","10.191769816055213","true","false","0"
"11","10","1","6533","1","844.0737188846776","88","82.01910820318547","38.28404624092589","false","true","1"
"21","20","1","1370","0","11.464318021095767","32","1.3215419458822308","0.5316806578231794","true","false","0"
"3","2","1","5527","0","527.0535483819278","100","19.666285998465693","19.405366324268694","false","true","1"
