"BehaviorSpace results (NetLogo 6.0.4)"
"straight-run-trial.nlogo"
"general experiment template"
"01/01/2019 15:32:11:352 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio"
"123","12","4739","-3.864","-3.864","0.175"
"122","12","15000","-14.875","-14.875","0.025"
"124","12","4738","-4.713","-4.713","0.005"
"125","12","4782","-4.432","-4.432","0.07"
"126","12","4775","-4.7","-4.7","0.015"
"130","12","15000","-14.825","-14.825","0.235"
"132","13","15000","-14.675","-14.675","0.065"
"127","12","15000","-14.85","-14.85","0.03"
"128","12","4786","-3.9359999999999995","-3.9359999999999995","0.17"
"133","13","15000","-14.675","-14.675","0.065"
"129","12","4719","-4.144","-4.144","0.115"
"131","13","4775","-4.675000000000001","-4.675000000000001","0.02"
"134","13","15000","-14.875","-14.875","0.025"
"135","13","15000","-14.9","-14.9","0.02"
"136","13","4750","-4.6","-4.6","0.03"
"138","13","11561","-11.411","-11.411","0.03"
"137","13","15000","-13.3","-13.3","0.34"
"140","13","15000","-14.825","-14.825","0.035"
"139","13","15000","-14.05","-14.05","0.19"
"141","14","4774","-4.299","-4.299","0.095"
"142","14","4765","-4.29","-4.29","0.095"
"144","14","15000","-14.7","-14.7","0.06"
"148","14","15000","-14.425","-14.425","0.115"
"143","14","4711","-4.4110000000000005","-4.4110000000000005","0.06"
"149","14","15000","-13.275","-13.275","0.345"
"145","14","4786","-4.686","-4.686","0.02"
"146","14","10214","-9.839","-9.839","0.075"
"147","14","4735","-4.5600000000000005","-4.5600000000000005","0.035"
"150","14","4747","-4.0969999999999995","-4.0969999999999995","0.13"
"151","15","8132","-6.532","-6.532","0.32"
"158","15","15000","-14.275","-14.275","0.145"
"152","15","4772","-3.9720000000000004","-3.9720000000000004","0.16"
"154","15","4735","-4.510000000000001","-4.510000000000001","0.045"
"153","15","10670","-10.645","-10.645","0.005"
