"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"threat baseline run"
"03/25/2019 22:48:50:776 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","experiment-number","random-seed","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev"
"34","33","1","3502","0","229.20496591284657","100","26.18753899278458","9.210267657914617"
"35","34","1","4343","0","562.1375583769346","25","63.02645828075275","18.02632281583236"
"36","35","1","4054","0","148.0168961416066","100","9.907842731298604","4.14917730661178"
"38","37","1","3484","0","161.53119858109378","40","17.625307684323722","8.291838574856385"
"37","36","1","3407","0","1319.6766322309468","100","27.205223058343574","16.058649577176308"
"39","38","1","3694","0","44.835626307930326","100","4.83704882967045","1.6821234142496497"
"40","39","1","3908","0","53.509080023148876","98","4.810763099878674","3.132218030723265"
"41","40","1","4332","0","199.0830993094139","100","11.273308812556506","7.099296092803032"
"42","41","1","4435","0","580.6495554599497","100","10.890418126131895","10.052979154751974"
"44","43","1","3759","1","465.7739479459208","100","14.948403594620899","13.62111284316409"
"43","42","1","3351","1","841.519792694732","47","35.68837720155917","42.49946583094331"
"5","4","1","30000","6","2702.884560293053","100","32.88520971283493","24.718098248956473"
"46","45","1","4430","0","48.683102410367866","100","1.9249615806498337","0.9846887928903901"
"45","44","1","3713","0","716.8791014627844","100","20.489523523900196","12.248324847232876"
"47","46","1","3992","0","675.8726190158088","100","25.73604420909153","13.969245837423536"
"49","48","1","3738","0","618.4440004604668","100","7.572646152773866","3.9828344611523225"
"50","49","1","5861","0","318.44435281458664","90","16.83633783608694","8.67344633639664"
"48","47","1","4638","2","67.15131789352537","100","3.676083878723648","2.0971704488728964"
"52","51","1","7061","0","989.6788052792308","100","30.68549741207694","20.7697672352914"
"53","52","1","5147","0","729.8182811723058","100","54.73848431867416","36.630608026314626"
"51","50","1","21347","0","2626.0450852726194","90","126.96546625913594","86.37772369299292"
"54","53","1","10585","0","1417.243402354519","100","55.708931154414856","53.5258261059872"
"55","54","1","4862","0","276.2409632682739","61","20.13850261908637","8.567257235290876"
"57","56","1","6074","0","234.26353770887485","100","11.068712634510492","5.423358812005706"
"56","55","1","9954","0","653.2399388326638","92","71.88926276119552","37.46467338541043"
"58","57","1","7235","0","757.976982833397","100","26.245144123986577","22.387405360595178"
"60","59","1","5310","0","676.6816901448907","100","88.0398414769248","30.11872108000265"
"62","61","1","6153","0","63.243279436827336","93","2.6638182323940347","1.333121934779907"
"63","62","1","8238","0","179.29512393344825","100","10.856170993949222","5.959324942068149"
"64","63","1","9862","0","524.6825244756295","100","9.829633436064507","8.777691147287731"
"65","64","1","6063","0","270.0152579036202","100","4.462198101528828","5.300815184100871"
"66","0","3","7780","0","265.1418717273959","100","16.03071167382755","10.968610995041036"
"67","1","3","5723","0","205.0220277527996","100","4.49457715768425","4.681883898748726"
"61","60","1","19413","7","1822.6141521769991","72","85.62305680793538","44.256098373177934"
"59","58","1","6515","2","534.5982017158632","100","40.31307774325948","25.841304922358155"
"68","2","3","6390","0","1489.673793459192","100","25.724937847288842","13.946358420332839"
"69","3","3","9051","1","155.5734664465749","100","7.426079065532847","7.2720504513931825"
"74","8","3","5785","2","224.31625993002876","100","19.76863718755463","8.691652464719489"
"75","9","3","10091","0","619.4362485243155","100","24.052599684290048","11.844283229759808"
"76","10","3","7399","0","1793.4016408508187","100","6.814305268976551","5.109296125519292"
"77","11","3","7490","0","275.21837422393384","100","6.724126821767961","5.344427591955715"
"73","7","3","19210","3","927.047368711991","100","27.335893659303068","17.379283481377424"
"71","5","3","30000","0","1456.8953133728576","91","104.17116122619768","72.96255653944957"
"78","12","3","5629","0","742.7738735185551","97","88.18197345029076","30.948943351434398"
"79","13","3","6719","6","341.52481099996584","100","25.845012048386945","14.261197797883929"
"81","15","3","7634","0","751.634650531605","100","24.959417360535863","9.751977855904528"
"80","14","3","16081","0","1911.1703410949838","100","30.996798913644884","54.89665667299872"
"72","6","3","6731","0","915.0127664968023","100","20.195059651516885","19.800739206987075"
"70","4","3","8781","0","1030.5498179355545","100","95.49538779216302","48.32966259684526"
"84","18","3","3786","1","376.580067411933","100","9.49097148740447","8.002424327032422"
"83","17","3","4545","2","26.361044648399226","100","0.35146910458581426","0.3052549011302437"
"82","16","3","4264","0","472.85306494105555","100","21.26087089188783","12.30378231974049"
"85","19","3","4781","0","207.51115371794793","100","6.731519959568249","4.4467207375305575"
"88","22","3","3368","0","1014.6762322218988","100","9.05722798067219","7.921873490280221"
"90","24","3","3766","0","279.96370947273556","100","6.327642164638048","4.131809007490768"
"91","25","3","4044","0","306.82599666103306","100","6.763536950593641","5.175665049003438"
"89","23","3","4206","0","535.8150673470616","100","15.473411849028293","10.399227190505272"
"87","21","3","5136","0","1224.5720843005442","100","41.11712984140299","26.41254748889681"
"86","20","3","3268","0","1142.5073514559103","100","16.565751781450295","10.796549541086552"
"92","26","3","4653","0","112.13799755871233","100","4.161556791863953","3.96187415076835"
"93","27","3","3505","0","31.70898227847485","100","1.7872481072085822","1.0522917337685789"
"95","29","3","3529","0","269.819356849336","100","11.147183897312786","7.9091118950812955"
"94","28","3","4245","0","1425.9556634451274","92","68.01002320016086","61.55496277886575"
"96","30","3","3369","2","753.4908037011189","100","15.353359081854752","8.110051640201542"
"99","33","3","3501","0","507.3319753291528","100","10.484032945545232","4.474017084122951"
"100","34","3","4330","3","1296.4315073360317","20","31.601003827343554","10.61490043746032"
"98","32","3","4960","0","202.41282965103653","100","13.604493100004323","10.057099501093989"
"97","31","3","18986","2","2819.6174047958334","100","97.65407780468024","67.25885318878149"
"101","35","3","4055","0","460.05608688360377","100","18.82337682757193","16.923336423804898"
"102","36","3","3398","0","1130.4602527847953","100","19.92131258739671","10.277113402533608"
"103","37","3","3489","0","226.42390447308748","49","27.531625296592694","9.538652893510227"
"104","38","3","3702","0","261.89864038964635","100","9.041354697247773","8.058126613948566"
"105","39","3","3909","0","32.01585701808429","97","2.1170981671150377","1.8947116336244585"
"106","40","3","4355","2","591.570311438891","100","31.66233752485869","18.884920115782037"
"108","42","3","3294","0","871.4813210337228","55","26.767322469979646","13.317983999406527"
"107","41","3","4450","0","678.6700601388458","100","15.317982023148204","12.091563346800031"
"109","43","3","3759","0","1234.5370241215353","100","43.08353356549904","17.29341986204453"
"111","45","3","4431","2","100.00533325022259","100","1.5454772344511685","1.1337337727385348"
"110","44","3","3684","0","119.05951721119392","100","8.170176492436712","4.5051862372738185"
"114","48","3","3641","0","282.77111772130036","100","12.970353191222499","10.906929458545214"
"112","46","3","3933","0","251.4102330161018","100","13.01168128268361","12.563039347304459"
"115","49","3","5864","0","659.1099222939224","90","18.059181758096624","11.669221395079132"
"116","50","3","5429","0","540.8905600107248","100","22.258103648377382","16.75950407113877"
"113","47","3","4639","0","291.2066562715994","100","2.259952887595288","1.5642117850444963"
"117","51","3","7123","0","772.4057000615614","100","33.457827003352506","19.524483810571365"
"118","52","3","5167","0","730.2365240027932","100","22.114105124145354","29.9910507737099"
"120","54","3","4865","0","145.92559207551614","65","17.107133879340722","4.542711762651988"
"119","53","3","10557","0","173.78795382493792","100","11.580603165058822","10.036524706838934"
"122","56","3","6075","0","109.06260674707978","100","3.3960780011425413","3.71152426601317"
"121","55","3","9729","0","1372.0409723974144","79","92.86859892813666","48.300436527798674"
"123","57","3","7228","0","1161.687524554627","100","53.51671094754184","28.070776151481745"
"125","59","3","5353","0","923.1061084102082","99","61.687872479729485","34.441069777888345"
"127","61","3","6147","3","253.6647493007101","93","7.2696447928425805","6.473186921350081"
"129","63","3","9881","1","167.8127917392843","100","9.358024648124294","4.352819228270996"
"128","62","3","8224","5","100.4696861327152","100","4.746352057665742","2.2765130905011635"
"126","60","3","8270","0","1368.616658827755","98","29.091732120545945","7.096619048402919"
"130","64","3","6068","0","333.83448848687584","100","26.158328996626157","20.312888624788485"
"131","0","5","7755","0","364.63669452623844","100","6.624558262169118","3.4080683643293637"
"132","1","5","5750","3","598.9255966091453","100","13.749915826535837","13.3938449098664"
"124","58","3","6485","1","994.4615945505855","100","9.382999810733482","5.709078685951403"
"133","2","5","6410","0","228.65385575498544","100","10.500750229708986","9.1235887200719"
"134","3","5","9037","0","218.13747291552528","100","9.077832870109031","3.173276318208428"
"136","5","5","7503","0","997.5646775420748","99","33.0637173651124","35.51068463056583"
"139","8","5","5798","0","206.2399977753753","100","28.76222074178169","8.495406513751444"
"138","7","5","5454","0","697.0756828696648","100","38.88143091503513","14.994132052950233"
"140","9","5","10042","5","517.4961279483559","100","21.55802465687376","14.763763542456193"
"142","11","5","7508","0","704.7060141730843","100","18.96539169920333","17.169414265437986"
"143","12","5","5660","0","567.8537146570171","100","29.012666365646872","19.533260971735054"
"141","10","5","7463","3","456.3752734702538","100","6.976479202008274","4.3480180943091025"
"144","13","5","6600","0","1266.9091626150423","99","8.533060068775601","15.305373794372535"
"145","14","5","5314","0","376.7626640333876","100","23.591561999008444","8.54689198322563"
"137","6","5","6714","0","832.2925041689589","100","36.76015405946985","42.8270126867847"
"146","15","5","7616","3","489.0123378964371","100","20.80936292194003","21.327080606501752"
"135","4","5","8812","0","904.7817062056924","100","39.95050254094897","39.81156589001793"
"149","18","5","3789","0","59.717098446785606","100","2.349781847117058","0.9658315789939366"
"148","17","5","4548","0","14.197299706644005","100","1.1122152696066672","0.6957759572806005"
