"BehaviorSpace results (NetLogo 6.0.4)"
"straight-run-trial.nlogo"
"baseline1"
"01/03/2019 08:41:31:731 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio","number-of-collisions","max-nav-error","count mine-contacts"
"35","3","2094","-0.16899999999999982","-3.336233070842834","0.385","0","265.782907950831","77"
"36","3","2105","-0.33000000000000007","-8.127506355211928","0.355","0","2202.5042370580322","71"
"41","4","15000","-13.6","-23.2748214652027","0.28","0","2228.0984758708432","56"
"37","3","2116","-0.1160000000000001","-7.293479717408264","0.4","0","713.9806455350081","80"
"39","3","2107","-0.8820000000000001","-9.23843729820574","0.245","0","990.1284329860332","49"
"38","3","2113","0.01200000000000001","-3.064463337750784","0.425","0","532.4745120904602","85"
"40","3","2092","0.7080000000000002","-2.2605575267355027","0.56","0","234.13626145481672","112"
"42","4","14649","-13.224","-42.15146482730893","0.285","0","3191.880470740519","57"
"46","4","15000","-14.4","-24.470140020594926","0.12","0","3149.992747115068","24"
"44","4","2660","0.8399999999999999","-6.205088248975248","0.7","0","445.39497299884977","140"
"43","4","15000","-13.8","-23.14239423683982","0.24","0","3909.83756023323","48"
"45","4","15000","-12.825","-48.646200180804925","0.435","0","3106.356862511971","87"
"47","4","2692","-1.3170000000000002","-14.544997832051802","0.275","0","2756.2443004068514","55"
"48","4","5016","-1.666","-13.118447343982066","0.67","0","4232.629705503425","134"
"49","4","2776","1.4990000000000006","-2.862206625143074","0.855","0","2661.395614463961","171"
"52","5","15000","-13.35","-20.613763773122333","0.33","0","5587.600398358858","66"
"50","4","7363","-4.488","-15.695255247192588","0.575","0","2261.5877553431715","115"
"51","5","15000","-12.875","-30.805718062286083","0.425","0","2501.7642443004247","85"
"53","5","15000","-13.75","-25.471576130895304","0.25","0","3170.1791163716557","50"
"54","5","15000","-13.225","-28.135844837012144","0.355","0","3291.989044290336","71"
"55","5","2960","-1.8099999999999998","-40.43820512729022","0.23","0","2775.0139069768034","46"
"56","5","2985","-0.4099999999999997","-11.128945031751794","0.515","0","1582.5683731626618","103"
"57","5","2962","-0.5620000000000003","-20.212488444191546","0.48","0","1935.807417490491","96"
"58","5","2971","0.07899999999999974","-11.943574136009488","0.61","0","1395.610943604795","122"
"59","5","5105","-3.455","-41.29018542455009","0.33","0","2114.233818866208","66"
"60","5","2927","-2.127","-64.23747353169487","0.16","0","4034.959555852806","32"
"61","6","2926","0.07399999999999984","-2.239507463981861","0.6","0","4394.763655964119","120"
"63","6","2834","-2.209","-9.137753576561417","0.125","0","2186.448030773799","25"
"64","6","2555","0.020000000000000018","-2.5039140960792143","0.515","0","3057.979298335699","103"
"62","6","15000","-13.7","-22.056028690506526","0.26","0","4999.5393989970935","52"
"68","6","15000","-14.3","-22.68957750707421","0.14","0","2497.8692056737573","28"
"65","6","10505","-9.855","-29.41234899231999","0.13","0","2119.7230606226058","26"
"66","6","8912","-8.537","-16.29449699130773","0.075","0","5280.755599159201","15"
"67","6","15000","-13.725","-19.478325907595906","0.255","0","3534.950871870745","51"
"69","6","2997","-2.622","-11.438816289520927","0.075","0","2364.532263882248","15"
"72","7","2320","0.22999999999999998","-17.13255928225302","0.51","0","4587.574008709632","102"
"70","6","10122","-9.772","-16.302087808156934","0.07","0","3836.229645017968","14"
"71","7","7338","-4.588","-12.761080724446561","0.55","0","2962.5798681960778","110"
"73","7","2383","0.8170000000000002","-17.162019859182205","0.64","0","1096.1574938669028","128"
"74","7","12452","-10.751999999999999","-31.732159770411233","0.34","0","4711.038797862781","68"
"75","7","7738","-6.138","-47.78925358606096","0.32","0","3055.029616513387","64"
"76","7","11820","-8.845","-24.015225674787203","0.595","0","1994.401291513434","119"
"78","7","2383","1.592","-13.114047857311068","0.795","0","1028.666702532969","159"
"77","7","15000","-11.875","-24.16027343973817","0.625","0","3759.7749649787875","125"
"80","7","2365","0.7349999999999999","-13.676727043021465","0.62","0","1467.545717562068","124"
"79","7","15000","-11.875","-29.676078907069844","0.625","0","3438.3719836162745","125"
"81","8","2294","1.5059999999999998","-1.12217683505903","0.76","0","910.230088945562","152"
"82","8","2266","1.359","-2.2694397055670077","0.725","0","239.46020960720162","145"
"83","8","2270","0.5799999999999996","-3.0261047709029985","0.57","0","255.49211613614392","114"
"84","8","2305","1.42","-2.8320259558717353","0.745","0","1141.6929289486975","149"
"85","8","2304","1.1960000000000002","-4.368993800194529","0.7","0","631.3975124320195","140"
"87","8","2308","1.1170000000000004","-3.0599989191430264","0.685","0","1745.8986656470222","137"
"86","8","2268","1.307","-2.9124872254315854","0.715","0","231.60342626996496","143"
"91","9","15000","-12.075","-20.440794522305058","0.585","0","2927.4694263562424","117"
