"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"random spoofers noseed"
"03/28/2019 08:34:55:804 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","experiment-number","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev"
"4","3","5393","0","240.94485200846532","100","7.602228848779751","5.70693080938004"
"3","2","5523","0","141.4035204039083","100","13.122926383530334","7.273173333976097"
"1","0","5907","3","442.2445136999783","100","18.484253685063972","6.922545670754884"
"2","1","9927","3","1498.044176996886","100","63.59611899118687","40.30361712501505"
"7","6","7597","0","42.81168015239639","100","1.175664460855874","1.1481994478945468"
"8","7","5802","8","197.34236192097282","100","6.114894729173759","2.8373173574642023"
"5","4","15385","2","1051.6197945370932","72","45.58312751598947","28.442102920794394"
"9","8","7478","0","416.2119622486733","51","29.067204134412574","20.271984861184716"
"10","9","8272","0","533.0028992004775","100","15.602890109151554","12.5774795933637"
"11","10","6535","0","264.2139800806457","100","9.9944984134131","7.261987391653226"
"12","11","7914","0","133.4674579225545","100","13.839843693272877","6.248478936279341"
"6","5","5518","0","1123.2854866075056","100","30.591364877578847","17.768778644263623"
"13","12","5665","2","1063.1537334627544","100","55.265757976400174","46.71107101921426"
"14","13","8151","4","555.3322939060816","100","18.737997461754432","13.602225492635409"
"15","14","5128","1","203.54717875165687","100","12.096634607195472","8.653463255092742"
"18","17","5533","0","176.48086187393037","100","9.09033772957974","7.544389232984616"
"19","18","7224","0","258.3725520393943","100","9.649449196940106","8.045251404932198"
"17","16","10016","0","137.79853643462798","100","7.70095536807478","6.94243168147525"
"21","20","4866","0","126.800696532361","97","1.5868955974257362","0.7989823693264521"
"20","19","7871","0","794.277533434302","100","62.72490740103091","35.58141762560819"
"22","21","5448","0","15.208241199669859","100","0.8886977831845997","0.5099579419404386"
"23","22","5848","0","541.2679124141941","95","55.48864532058997","28.42247594272845"
"25","24","6464","0","297.5742247368193","100","15.91649165726318","14.520410124648713"
"26","25","8613","0","179.00002629698224","100","2.461630678123453","2.498506238654609"
"27","26","9559","0","1062.5770958117364","100","64.23946840512632","37.325660394192646"
