"BehaviorSpace results (NetLogo 6.0.4)"
"horseshoe-trialv2.nlogo"
"horseshoe version 2 lhs"
"01/13/2019 11:40:40:573 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev","[link-length] of fix-links"
"24","23","5774","-5.524","-43.4282673391533","0.05","0","2439.9052980538427","10","366.3630015324038","12.679671859129291","[105.58213414782182]"
"22","21","4724","-4.724","-4.724","0","0","52.27618334902169","0","0","0","[10.45523666980434]"
"25","24","4652","-4.652","-4.652","0","0","587.1275703654962","0","0","0","[26.75124570341021]"
"26","25","2949","2.051","1.3295510374223376","1","0","55.422426788155335","200","4.695947244791576","2.51854238098505","[6.8388108526924825]"
"28","27","3028","-1.3279999999999998","-7.648873967831392","0.54","1","1771.678156698049","108","30.84778833094519","32.36095134736872","[347.5256894655095]"
"27","26","14299","-14.299","-14.299","0","0","3575.3162908889162","0","0","0","[240.70290979146134]"
"21","20","8995","-3.994999999999999","-7.873684105442139","1","0","285.98389065733835","200","20.280883865229033","18.505957189192372","[7.021694227324919]"
"30","29","3942","-2.992","-6.608083041652889","0.19","0","219.50000545962746","38","31.116590189897526","5.044240226631368","[19.931071100629534]"
"31","30","6974","-5.224","-13.532463071387914","0.35","0","1247.6477945250813","70","56.2153541657186","26.869276548160528","[206.87979069323058]"
"29","28","4804","-4.804","-4.804","0","0","779.9438946322038","0","0","0","[155.98877892644074]"
"34","33","20000","-17.85","-58.50429642891037","0.43","0","3084.426797048886","86","279.071793187609","127.47117110149478","[362.04046320626713]"
"32","31","7704","-2.779","-8.173974073306026","0.985","0","762.274563668446","197","34.483634435342424","19.466106297717825","[152.4549127336892]"
"33","32","2228","-2.228","-2.228","0","0","1534.0150453191516","0","0","0","[306.8030090638303]"
"35","34","2451","-2.451","-2.451","0","0","4065.5060326295693","0","0","0","[810.2836704374912]"
"37","36","3685","-3.685","-3.685","0","0","383.91319731349256","0","0","0","[10.576212492202227]"
"36","35","3341","-0.06599999999999984","-14.929170352223995","0.655","0","1575.5544406878269","131","88.29723303719503","60.33447048504493","[190.13253499192507]"
"38","37","3186","-5.186","-5.186","0","2","556.5953165036452","0","0","0","[111.31906330072904]"
"40","39","2445","2.3800000000000003","-6.0901865081791","0.965","0","720.0148991281003","193","55.45393687638518","29.24792820540582","[144.00297982562006]"
"41","40","2202","2.673","-8.519333652626147","0.975","0","840.1885378087472","195","67.31681079765443","44.60652572860709","[52.12648835845778]"
"39","38","20000","-19.975","-19.975","0.005","0","3424.058097275918","1","0","0","[553.41678536476]"
"46","45","20000","-23.186","-23.186","0","0","0","0","0","0","[]"
"42","41","8801","-5.8260000000000005","-27.488647844620573","0.595","0","2301.9012405911744","119","133.30560323344574","83.32087521276006","[211.35206730508662]"
"47","46","20000","-19.15","-20.321308684415463","0.17","0","1527.7662905517443","34","6.01849263788511","5.694594206269541","[305.33565280026477]"
"45","44","3244","-3.244","-3.244","0","0","43.51190528508293","0","0","0","[4.951916188001255]"
"48","47","7303","-10.303","-10.303","0","3","1721.4050233627438","0","0","0","[227.66697004961452]"
