"BehaviorSpace results (NetLogo 6.0.4)"
"horseshoe-trialv2.nlogo"
"horseshoe version 2 nolh"
"01/19/2019 22:09:12:449 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev"
"201","71","10693","0","1273.3365860628278","76","149.91243841150367","59.292243386322866"
"202","72","4733","0","281.1384475195167","187","20.654574048520274","10.352129230076017"
"206","76","35000","0","2143.4714515893284","0","0","0"
"203","73","35000","2","5577.469821018076","133","149.36020892326871","177.3713899840106"
"207","77","2605","2","170.27048412394902","0","0","0"
"205","75","35000","5","3656.5406257570858","0","0","0"
"212","82","35000","0","4490.719230661403","7","32.534496628972796","23.416225603313272"
"209","79","3558","0","116.4556060592647","187","7.768508304833868","6.1115179542814895"
"208","78","2523","0","382.9887491624694","0","0","0"
"211","81","21797","0","4737.453567912573","70","326.74137744325026","232.27035449651126"
"213","83","5438","0","1578.716478807","0","0","0"
"210","80","5182","0","77.57089581188202","200","4.690265606933777","4.153862764960663"
"215","85","2476","0","381.78477659835124","0","0","0"
"214","84","35000","4","4052.7403982432857","0","0","0"
"216","86","2685","3","1528.8909075758604","0","0","0"
"217","87","4897","0","1196.0860347075002","19","60.483080526182725","40.408942896537134"
"218","88","4092","0","169.0241111088543","200","7.658385070986753","9.92115636922139"
"219","89","2579","1","1560.4723385958118","102","36.09834972530107","24.85778447590798"
"220","90","2324","0","474.41723589001214","132","52.22777990871659","24.752677095608735"
"221","91","4823","0","1061.6444976199168","53","69.32642708493846","31.974496223444124"
"223","93","3299","0","1933.1169103783247","0","0","0"
"222","92","35000","0","1769.747115934467","0","0","0"
"224","94","3263","2","16.194438979130126","0","0","0"
"225","95","4977","0","2389.4512644707015","102","75.4953497389806","20.615152713368595"
"226","96","4206","2","464.2089572560593","197","13.867860644860263","17.58240514288696"
"228","98","9090","0","2917.0866300552602","102","92.77079135966308","90.08661600575047"
"231","101","2818","0","958.6517364937104","0","0","0"
"227","97","21476","0","5262.79127086103","53","562.1371244086682","362.05441999264133"
"232","102","2492","1","1655.987976123399","0","0","0"
"230","100","13551","0","5073.752247973665","0","0","0"
"233","103","8468","0","285.09371727942005","157","23.685630929225628","15.808026070182072"
"239","109","35000","0","4779.784881761403","0","0","0"
"229","99","30592","0","5095.120890267881","0","0","0"
"236","106","3046","0","1857.9654224610813","29","70.43158109744749","59.91846571348847"
"238","108","8026","0","3324.5698207702394","0","0","0"
"235","105","35000","0","4264.2365705257835","130","207.3560784489524","143.4296078196183"
"240","110","3265","0","1075.590652755403","0","0","0"
"237","107","29768","0","2754.3138956176176","17","74.3575334398606","19.03711568258745"
"234","104","6273","0","537.2073544807462","91","13.341417563816222","5.528262924982229"
"246","116","35000","0","4596.766093575888","0","0","0"
"242","112","6952","2","1289.0948193217412","50","38.07997730500329","40.60557953839599"
"241","111","35000","0","2540.695150273972","198","37.76717559371232","27.73362428879093"
"244","114","2321","0","2161.656845713077","16","126.02027685195456","31.018079512237577"
"243","113","3090","0","2349.575871143912","73","69.28183347170291","135.90844228171431"
"245","115","3631","0","1012.9229607792071","0","0","0"
"249","119","35000","0","3654.975052715449","57","37.59439309415157","36.82302700120664"
"247","117","8283","0","3488.3124787792026","0","0","0"
"248","118","2304","0","223.78998253227795","14","29.753794704936077","5.837099758107831"
"250","120","6753","0","2055.895145527324","25","44.98241579392377","24.569944708108686"
"251","121","3699","1","2053.1437116229754","117","68.12110043192621","48.20334353106151"
"252","122","11036","0","4409.681289471024","13","653.6103570105731","189.1541065545582"
"253","123","6375","0","2008.799993052328","0","0","0"
"255","125","2827","0","266.2517994446835","0","0","0"
"254","124","6589","0","1930.1106593165646","0","0","0"
"257","127","3944","1","1201.4011823363805","191","30.815574966971806","34.31245513848021"
"256","126","2279","0","1089.6441880524897","0","0","0"
"258","128","3941","0","513.4006845994887","152","45.63809767551938","26.398486352712577"
"259","0","3790","0","2962.8938897518283","0","0","0"
"261","2","2557","0","14.818037898838899","147","1.5025388316312283","0.7062959072051969"
"263","4","4382","0","1743.129332704208","186","69.84824806366572","49.98963106675677"
"260","1","35000","0","2870.5409963332386","0","0","0"
"262","3","2296","0","773.4629314831536","195","38.28433710002706","27.874698640707894"
"264","5","35000","0","5008.582643130412","5","176.18850011374272","377.4599072238096"
"265","6","2127","0","2939.2760845988396","0","0","0"
"266","7","7881","0","1329.278226502934","3","72.5423166727836","72.73760925453763"
"267","8","8925","5","2617.3841611959742","0","0","0"
"268","9","7919","0","2517.992497535176","79","21.805589079619875","23.5695939376156"
"270","11","2109","0","680.1732148406621","92","92.16986294468911","53.17761789721216"
