"BehaviorSpace results (NetLogo 6.0.4)"
"horseshoe-trialv2.nlogo"
"horseshoe version 2 lhs"
"01/19/2019 10:53:35:921 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev"
"149","148","35000","0","2027.6300526889534","189","53.81094575689901","41.45073152880003"
"153","152","5659","0","1321.9818715360257","0","0","0"
"154","153","4629","0","984.7943409533568","127","45.15042591543811","35.78450126154473"
"155","154","5254","0","1791.5993931906198","133","34.83368137010169","21.61370929071354"
"156","155","2536","2","149.84264865085225","0","0","0"
"157","156","3980","0","1145.3763649920252","0","0","0"
"159","158","3634","0","487.0898583713884","87","82.5668420825137","17.929560295960357"
"160","159","3459","2","671.4413384681138","92","30.133302886349178","22.364816997920034"
"158","157","35000","0","2503.928529439735","12","109.39946630169239","52.96713789253624"
"162","161","2559","0","601.1366037816563","0","0","0"
"163","162","3244","0","748.9689446289349","143","40.551349096362166","34.07831847144494"
"161","160","35000","0","3732.7181493474877","162","46.227506370092016","42.33273316684874"
"164","163","2902","0","4540.09306644162","0","0","0"
"165","164","7410","0","4467.108004432028","19","17.37946559009748","6.271866491705193"
"166","165","2151","0","808.1928458034032","136","38.627390208956506","17.376931996757182"
"167","166","2505","0","393.6218974614255","141","32.16675673003447","24.98943983994374"
"168","167","2226","0","1667.1294250765188","186","34.63162809572429","25.433951845647762"
"172","171","35000","0","3700.4060238224356","101","168.69797589859942","132.17899098607782"
"170","169","2884","0","229.84979855102054","199","22.774269475941985","13.087488320147592"
"171","170","3066","0","401.1850399335032","181","18.692245799267347","16.454267481368706"
"169","168","6755","0","197.93979337901936","200","14.621498825319284","7.9975571766894475"
"173","172","4621","3","1400.138124561544","160","61.464747329096916","81.78582954126061"
"175","174","4246","0","1953.8373374524529","112","25.08803416799512","19.766687518813267"
"176","175","3594","0","1413.6222790683137","14","18.628107858130818","11.799136637379924"
"181","180","35000","0","0","0","0","0"
"178","177","2530","0","714.3575710953533","100","34.23422965762511","42.88761934105694"
"174","173","4191","0","1962.9458240222166","67","82.95344571849466","50.573142129648616"
"180","179","35000","0","2587.801875874716","113","82.27591054849995","37.96524691032888"
"182","181","3773","0","759.7040198513611","176","29.81889378521265","30.251317735833464"
"185","184","4637","0","570.0410338381499","99","51.838553737577115","24.764000605451837"
"186","185","2509","1","462.82053805218357","16","55.80486354214256","16.855943168744908"
"183","182","35000","0","4681.9068456607765","0","0","0"
"184","183","32130","0","2844.3276511300282","16","88.02839573950772","49.43372598028745"
"187","186","2199","0","293.99443523596693","6","43.33388920914249","12.007294248057372"
"179","178","8948","0","2215.3163143775478","47","147.16665692666655","154.32016832858184"
"177","176","35000","0","4091.21052817854","157","103.70981048885474","35.188136547522184"
"188","187","5001","3","751.3341620164282","31","53.11851582802837","12.509650055427592"
"191","190","2885","0","813.3469604608489","0","0","0"
"189","188","3331","0","1619.7485819648625","146","53.0841391877421","34.6378511105131"
"190","189","3077","0","428.78246331126354","200","40.262857561451916","29.857705954493262"
"192","191","2483","0","1083.4875686212063","144","75.88625672646116","49.52086927477618"
"193","192","4361","0","1091.7414101822787","1","0","0"
"194","193","5201","0","3472.79307127332","32","420.85405883331754","285.7269984707403"
"195","194","2673","0","428.72501872127606","0","0","0"
"197","196","4052","0","1654.2535443607574","142","164.79823928211775","122.06213521120242"
"198","197","2802","0","1541.194548482047","0","0","0"
"196","195","4221","0","16.00093064207102","200","1.3179870579305424","0.9898975678221325"
"200","199","3612","0","2121.4000868875905","0","0","0"
"199","198","35000","0","3237.3979401779707","0","0","0"
"202","201","2505","0","954.9767939048064","113","38.37678381563171","36.64537168886273"
"201","200","4818","3","839.5948757344665","0","0","0"
"203","202","9728","0","749.8408275144668","0","0","0"
"205","204","2106","1","1179.582301696207","12","51.9470033525108","5.3050614106920975"
"204","203","3319","2","382.02779961332595","200","23.617228267691143","16.619099318471598"
"207","206","3012","0","170.18201367472358","0","0","0"
"208","207","2145","0","227.12160886421805","129","7.85579423602288","4.961606308587235"
"210","209","2305","0","831.542177702247","162","23.41815290237668","12.622704486537108"
"209","208","5115","0","197.97390817532656","200","8.386671284441476","8.889277194265334"
"206","205","3553","0","329.85494562754815","200","32.74360894471601","15.866457592350201"
"211","210","3225","0","976.7428046414842","105","56.821320507893006","40.03689957659401"
"212","211","2905","0","138.8968309451982","0","0","0"
"213","212","2249","1","910.4214342109356","0","0","0"
"214","213","6232","0","567.508930499306","0","0","0"
"215","214","2728","0","1837.7612110536918","145","95.26853572948458","52.532056719837485"
"216","215","6584","3","1849.7722642902986","166","22.102490908822208","30.39388032675753"
"217","216","3076","0","979.3426962758599","199","11.295391545512192","16.835663720417237"
"218","217","2170","0","410.8080715998559","199","33.98389750355477","18.647787835072464"
"219","218","2555","0","315.3315767974185","0","0","0"
"220","219","2850","0","1940.2544027074673","147","150.07212420469844","150.00202652005154"
"222","221","2452","0","1471.1893503186952","15","84.89783046609887","15.499441199731596"
"224","223","3476","0","771.8867146695993","148","50.4732730680646","50.19544834944386"
"223","222","12726","0","2465.320674807007","0","0","0"
"226","225","3073","2","2628.2582183778345","0","0","0"
"227","226","2705","1","1044.7839140155584","26","70.1201944998619","34.96033495070038"
"221","220","35000","0","3886.866486889294","15","105.1925406364585","59.61777170026081"
"225","224","3016","0","694.2232562097535","0","0","0"
"228","227","3583","1","201.01797458123784","196","12.746324588580316","8.537723397478187"
"229","228","4100","0","267.6021365817862","199","3.6072797065364597","2.88257256330873"
"230","229","5431","0","400.68776969541113","172","34.85198010246248","26.24283534757964"
"231","230","2281","0","771.8823829564377","12","54.25994119325241","11.247942748371084"
"232","231","3210","2","2348.3089778359467","0","0","0"
"233","232","2461","0","37.314467596276245","200","1.4692364504957427","0.8450905794026368"
"234","233","7016","0","1194.796190860782","119","86.19119399826502","58.47401557281567"
"235","234","3615","2","917.7618955931279","149","50.81232520438019","39.57813421667032"
"236","235","2799","0","1670.668866035626","10","1.9985568453778169","1.546427049617137"
"238","237","4554","0","788.7266212078327","0","0","0"
"239","238","4714","0","1035.7832309297012","149","70.27396526223987","39.665738344343"
"240","239","2408","0","2198.8512907418085","73","101.23925409876409","70.45454583380008"
"241","240","3509","0","162.7677523364906","200","7.84937717143179","5.002855142781216"
"242","241","2481","0","209.0664755304693","0","0","0"
"243","242","4137","0","1435.4244317332218","0","0","0"
"237","236","35000","0","2833.7944184166654","140","26.65020178758156","26.333535403869714"
"244","243","2274","0","1668.4012296122999","92","167.0183345064235","103.49563272730796"
"245","244","8123","0","1538.2959651971491","187","96.47314446754814","51.0237220123801"
"246","245","3899","0","942.2070551016423","196","79.86312560195402","61.05682374663983"
"247","246","7898","0","3297.2619105108793","0","0","0"
"249","248","4835","1","385.8061738924383","116","28.444045236291252","19.413864311961603"
"250","249","2740","0","230.48936198112096","200","11.9525131654172","12.183082040197645"
"252","251","7705","0","582.3729921175403","172","42.36972230541381","19.14264201334632"
"253","252","2501","0","691.8254010595717","174","57.769633438888334","41.32374681403541"
"255","254","2400","0","1290.2744175977236","115","89.76814360069409","35.67756567528089"
"254","253","9290","0","4079.7556752895202","0","0","0"
"256","255","9485","0","4386.748956924053","53","124.5627102798963","48.90294016497711"
"258","257","3174","0","738.533070775252","0","0","0"
"259","258","2427","0","1239.9397991222513","168","87.34422896980075","54.06515757437838"
"257","256","8413","0","347.12781629022015","191","25.50673638633226","14.25054940523238"
"248","247","35000","0","5388.466850908702","0","0","0"
"260","259","5872","0","2464.816587625971","3","120.644313165526","55.850901101225475"
"261","260","2476","0","847.0471242272725","0","0","0"
"262","261","2362","0","3072.9255208166455","24","39.3417616974012","35.289882842444555"
"263","262","35000","0","3625.651476032137","70","68.72139899297659","76.0178407538805"
"264","263","3251","0","2952.079994579769","112","36.71170503439278","21.997800704431896"
"266","265","3017","4","475.4663473953377","14","58.53756619682887","16.54184603214247"
"265","264","6315","3","647.3392517659124","0","0","0"
"267","266","8906","0","3138.309497811485","84","88.25983220580785","39.80533936147369"
"269","268","2437","0","62.68212510174379","92","6.817345033216704","3.1734393694128005"
"268","267","35000","0","3136.6187862309243","13","142.7497106442968","70.37261841754052"
"270","269","4994","3","14.851099983605225","199","1.403084451151398","0.4550680843117516"
"273","272","35000","4","2994.4062447022657","0","0","0"
"274","273","3755","0","1800.2035890020522","158","83.42568397040377","54.351988280850804"
"271","270","4028","0","86.96946174053507","200","5.313907938957868","4.38574588869441"
"275","274","3083","0","15.30733133096593","0","0","0"
"276","275","8010","0","874.0289495455868","181","38.4414444707878","33.987374561353086"
"272","271","3911","0","299.9945618042323","159","5.920101265599367","4.802924735762907"
"278","277","3015","0","951.3746840251274","0","0","0"
"277","276","35000","0","3278.3785224126","98","274.12669947791204","280.5950419357632"
"280","279","9632","0","3027.8972343156643","5","93.45674056126282","63.57888162678256"
"281","280","3754","0","891.9213509527316","64","42.31970636552404","31.889253580104487"
"251","250","35000","0","3086.8066820562462","0","0","0"
"279","278","35000","0","2008.0340481092526","0","0","0"
"282","281","6789","0","4117.873988817769","5","91.82570203278809","59.02843047331919"
"283","282","5401","0","1689.8889742531137","72","190.82121694152363","84.14640439355014"
"284","283","3805","0","65.4192381520737","199","3.759551118645611","2.581977309228499"
"285","284","6194","0","1830.7979190323751","0","0","0"
"286","285","9077","0","405.24514604815636","4","55.431824027814294","6.609124066280195"
"287","286","5984","0","1933.674262027391","0","0","0"
"288","287","3498","0","53.496658928257894","0","0","0"
"289","288","3619","2","1149.0301099832623","100","93.08601015588889","54.857674744516196"
"290","289","2300","0","792.0059286549717","184","16.84111364308032","28.25126276575374"
"292","291","4257","0","845.1876330977607","107","71.44575264178407","51.087845474968496"
"293","292","3358","0","633.5375406755325","200","18.068636585847862","19.78091502160276"
"291","290","10024","0","1297.6867422816858","51","70.74006736702391","19.806418676757495"
"295","294","2091","0","396.7248515010658","96","23.126849883537673","16.899641598754975"
"296","295","2558","0","192.69308358735455","0","0","0"
"297","296","6872","0","1283.3582827129985","0","0","0"
"298","297","3144","0","642.9399214471944","26","48.98731510937113","39.00709445617728"
"294","293","6008","0","583.9199479462326","200","8.883832391856703","6.5209750237779245"
"301","0","35000","0","3194.3388605369064","17","42.540742759562065","16.505592643684135"
"299","298","6405","0","867.3839199995016","0","0","0"
"300","299","2387","0","1873.502302660336","44","97.9105571989242","42.14416635103606"
"302","1","2411","0","1767.2983925415497","97","56.629027512370975","39.606392255175216"
"305","4","4329","0","422.2678553207335","0","0","0"
"303","2","3396","0","449.10486079026754","0","0","0"
"308","7","2138","0","428.68566130885114","0","0","0"
"307","6","2213","0","158.09843084210985","0","0","0"
"309","8","2803","0","791.5299443066023","174","77.21268757611426","30.054202910616766"
"310","9","10413","0","2937.0145220212767","118","38.87733516154848","24.500305572926703"
"311","10","5597","0","2141.5594187743386","7","10.343057633606918","2.643991312275944"
"306","5","35000","0","1814.5848629805892","0","0","0"
"312","11","2456","1","1405.7185415107963","0","0","0"
"313","12","4721","0","777.6380039616724","0","0","0"
"315","14","6234","0","208.1578295362625","0","0","0"
"314","13","10161","0","28.124902482687382","0","0","0"
"316","15","2407","0","149.24888434630094","6","24.203372944749162","1.7325283431916902"
"317","16","4921","0","386.26836231587754","190","26.759946044964966","16.71342575331359"
"318","17","2665","0","1103.4386384604873","200","27.89755380534296","34.26720484793952"
"320","19","2462","0","1331.3648207902652","200","76.90593646251017","64.44961978350796"
"319","18","2421","0","436.9848227596429","24","49.366358078482115","9.713845885734946"
"304","3","34612","0","3625.0565301705965","190","156.34749016551717","183.55993528729587"
"323","22","2582","0","540.106220314925","152","28.61840891756905","15.833026475793655"
"322","21","4720","0","31.40629573991483","0","0","0"
"325","24","4627","0","437.0448976928154","0","0","0"
"324","23","18293","1","2813.4798630816254","7","296.39264790419367","32.096531273206985"
"328","27","2292","0","363.6595850509043","123","39.646248696363706","24.63883661957637"
"326","25","2950","0","89.14056476368935","200","3.600915466428999","1.6207998898131342"
"327","26","10278","0","2074.1660883051736","0","0","0"
"321","20","8970","0","250.576413210231","200","19.60594636592812","16.918800334511047"
"331","30","6989","0","1712.9703173353982","60","62.8975790857053","14.213395618518929"
"329","28","4797","0","877.7095323050224","0","0","0"
"330","29","3952","0","2049.5808027187186","28","67.90575769712775","14.008757977478528"
"332","31","7709","0","1601.2615804164707","190","21.85316412453544","19.345985377369274"
"333","32","2199","0","1898.1314201869309","0","0","0"
"334","33","5306","0","2374.4356962466445","59","212.70056203013306","206.88574644625467"
"335","34","2491","0","1067.1480431753716","0","0","0"
"336","35","3338","0","641.7089303540947","196","40.31091171754902","24.944710987636064"
"338","37","3201","0","307.43432139830287","0","0","0"
"337","36","3723","0","596.3146792555739","0","0","0"
"339","38","6309","0","1847.154670786973","3","107.31839834454699","58.75878541088699"
"340","39","2156","0","188.70920965044365","200","11.549981590060293","7.601397897922126"
"341","40","2221","0","1445.6626842164328","157","140.14811912283878","93.15314080579472"
"346","45","35000","0","0","0","0","0"
"342","41","35000","0","3905.4558475796216","88","194.18267350112572","196.6327424078905"
"344","43","4666","0","1257.0338647055178","0","0","0"
"345","44","3245","0","60.32389050433959","0","0","0"
"348","47","35000","0","2569.879514039143","0","0","0"
"347","46","5997","0","2852.941196450715","26","137.96740345980882","55.706367515172225"
"349","48","3857","0","1222.476296515848","156","51.58254020197419","40.996645691663325"
"350","49","2358","0","467.8628836277146","82","44.420573971602096","22.237108661280097"
"351","50","2932","0","2222.965447772559","0","0","0"
"352","51","2181","0","1251.626297652252","0","0","0"
"353","52","7233","0","2792.388482419799","37","273.49929031595263","72.60410499486552"
"354","53","2711","0","1491.771478903405","41","31.610776778616483","27.309689932606236"
"355","54","9453","0","835.1125548845296","2","42.979351603628956","1.9688302062238812"
"357","56","4477","0","1555.635327987068","0","0","0"
"358","57","5066","0","1582.2653445161468","0","0","0"
"359","58","2333","0","176.0119531275596","194","13.58748934721078","12.336005312924563"
"360","59","3095","0","999.7543444365963","200","25.010028431386736","18.38979125473279"
"361","60","4566","3","881.5843922825151","0","0","0"
"362","61","6606","5","1082.5835042436108","0","0","0"
"363","62","6481","7","338.2817982710981","200","11.367094478216913","11.06210338660248"
"364","63","2986","0","2229.582428496315","0","0","0"
"367","66","35000","0","3632.948788532144","47","407.9884647558613","305.43567635222826"
"366","65","2288","0","2185.889678520941","0","0","0"
"368","67","2536","0","330.6101755539929","0","0","0"
"365","64","35000","0","1852.8089676745954","0","0","0"
"371","70","4171","0","2040.7680875930455","86","106.43999192130477","59.629505975115066"
"373","72","3627","0","1283.5915567042232","0","0","0"
"372","71","9150","0","1223.5945596529868","154","67.43362800048651","35.27046034806433"
"370","69","35000","0","3867.323081873215","197","54.15223189793702","43.366037434197615"
"343","42","30829","0","3218.330632120747","80","221.05192113381636","168.10515708228252"
"374","73","18080","0","2894.120804821009","11","94.82143538745245","27.824495300341894"
"369","68","9643","0","4580.145133078103","0","0","0"
"375","74","2092","0","215.02166312262085","200","7.6656228783716385","4.7990967022743405"
"376","75","3938","0","622.7407234128366","125","31.956077734116707","20.890366472273016"
"378","77","2330","0","271.0647964850465","200","33.19874465781645","18.062270723366314"
"379","78","3605","0","559.7367577886316","0","0","0"
"377","76","4964","0","499.6456293028017","138","29.640579325763643","20.045157039262566"
"380","79","2649","0","1702.823481242203","38","219.93131328396493","18.557491216103614"
"381","80","2259","0","1531.2217667750722","0","0","0"
"356","55","35000","4","2956.9434174132716","129","84.01953751368744","75.18446224845114"
"383","82","3055","0","1904.0703500995673","15","171.7565862587623","105.23405696850625"
"382","81","4093","0","1325.334633370884","1","0","0"
"384","83","2579","0","524.4131345028409","0","0","0"
"386","85","8557","0","1877.3836242954692","4","53.0998797160609","4.517003215822538"
"385","84","2823","0","2308.3804781237577","19","101.97218091545403","51.242689785892736"
"388","87","2756","0","1153.0632113822774","113","127.40627746077672","63.6592820325288"
"387","86","35000","0","3935.7737958914418","75","115.6113527522533","72.50061214972928"
"391","90","2580","0","3170.3767515899326","82","403.408110397151","240.569892275745"
"389","88","2187","0","221.99875830300286","92","18.015863829096357","9.753157947619433"
"390","89","6369","0","881.6578889515665","13","49.60396609236886","6.397936011184647"
"392","91","3362","0","2506.8933633325805","0","0","0"
"393","92","2621","0","699.0951485459738","172","49.201402825326916","33.60151279875202"
"395","94","2823","0","102.11605467114053","0","0","0"
"396","95","3433","0","665.5245170386489","169","42.90024191648031","23.520359828004622"
"394","93","2346","0","573.6998195222594","0","0","0"
"399","98","2871","0","715.1353534263893","5","46.96910674071158","6.067700426735174"
"398","97","5549","0","2440.3747718147865","115","104.59223109997345","76.94441309854248"
"397","96","35000","0","2035.1554219645554","0","0","0"
"400","99","4786","0","1832.1063040765455","126","28.976809365564396","20.933551552538646"
"403","102","35000","0","3058.594571106699","0","0","0"
"402","101","2240","1","231.17559824786628","0","0","0"
"404","103","2329","0","1394.804031913041","2","63.91859197219752","1.4605905589182095"
"405","104","2779","0","2149.175967726993","57","90.36548316127524","57.51794010814353"
"401","100","7219","0","1866.716780093322","135","113.13944403539799","141.81597708964597"
"408","107","6698","0","2528.3261600970377","0","0","0"
"406","105","2104","0","184.993934066095","57","31.121745271632275","2.0714814379596542"
"407","106","2608","0","1263.4906681553773","132","51.28330351968941","32.75216644285079"
"411","110","5852","0","1839.776655605056","0","0","0"
"412","111","4426","2","481.96888456477444","0","0","0"
"410","109","35000","0","2795.392716885468","110","107.55300602752081","89.02672451506163"
"413","112","5304","0","721.8231448646928","165","31.65587265379198","29.404338745825513"
"415","114","2123","0","1099.206774359216","124","46.69176774634878","35.841164827645784"
"414","113","7632","0","2447.280910526636","0","0","0"
